Location,State,FIPS,"Life expectancy, 1995*","Life expectancy, 2000*","Life expectancy, 2005*","Life expectancy, 2010*","Life expectancy, 2014*"
United States,,,"75.86 (75.85, 75.88)","76.94 (76.92, 76.95)","77.65 (77.61, 77.68)","78.82 (78.81, 78.84)","79.08 (79.04, 79.11)"
Alabama,,1,"73.78 (73.70, 73.85)","74.46 (74.39, 74.53)","74.71 (74.62, 74.79)","75.58 (75.51, 75.65)","75.65 (75.57, 75.72)"
Autauga County, Alabama,1001,"73.69 (73.22, 74.20)","74.55 (74.10, 75.04)","74.71 (74.23, 75.20)","75.74 (75.25, 76.25)","75.67 (75.15, 76.18)"
Baldwin County, Alabama,1003,"75.79 (75.40, 76.20)","76.80 (76.45, 77.17)","77.09 (76.72, 77.47)","77.80 (77.45, 78.14)","78.08 (77.72, 78.43)"
Barbour County, Alabama,1005,"73.24 (72.69, 73.81)","74.13 (73.59, 74.64)","74.30 (73.69, 74.87)","75.34 (74.72, 75.95)","75.42 (74.78, 76.07)"
Bibb County, Alabama,1007,"72.62 (72.02, 73.16)","73.56 (72.98, 74.14)","73.38 (72.78, 73.97)","74.13 (73.48, 74.77)","73.97 (73.28, 74.68)"
Blount County, Alabama,1009,"74.80 (74.29, 75.29)","75.62 (75.16, 76.05)","75.71 (75.25, 76.19)","76.41 (75.96, 76.91)","76.16 (75.66, 76.69)"
Bullock County, Alabama,1011,"71.27 (70.59, 72.02)","72.27 (71.56, 72.93)","72.62 (71.85, 73.37)","73.61 (72.80, 74.40)","73.86 (72.92, 74.69)"
Butler County, Alabama,1013,"72.42 (71.84, 73.01)","73.17 (72.60, 73.71)","72.97 (72.34, 73.53)","73.63 (72.96, 74.28)","73.39 (72.68, 74.13)"
Calhoun County, Alabama,1015,"73.01 (72.61, 73.45)","73.32 (72.93, 73.71)","73.41 (73.01, 73.83)","74.11 (73.72, 74.51)","74.02 (73.58, 74.43)"
Chambers County, Alabama,1017,"72.80 (72.28, 73.34)","73.35 (72.84, 73.84)","73.36 (72.84, 73.92)","74.09 (73.54, 74.64)","74.06 (73.48, 74.61)"
Cherokee County, Alabama,1019,"73.64 (73.06, 74.22)","74.44 (73.95, 74.98)","74.64 (74.09, 75.20)","75.26 (74.68, 75.84)","75.08 (74.45, 75.72)"
Chilton County, Alabama,1021,"73.13 (72.59, 73.63)","73.79 (73.33, 74.32)","73.87 (73.35, 74.38)","74.50 (73.97, 75.04)","74.53 (74.02, 75.08)"
Choctaw County, Alabama,1023,"73.12 (72.50, 73.77)","74.03 (73.42, 74.63)","74.37 (73.70, 75.01)","75.19 (74.51, 75.92)","75.29 (74.52, 76.03)"
Clarke County, Alabama,1025,"73.24 (72.67, 73.82)","74.15 (73.62, 74.67)","74.51 (73.97, 75.06)","75.29 (74.73, 75.87)","75.46 (74.78, 76.08)"
Clay County, Alabama,1027,"73.71 (73.06, 74.36)","74.42 (73.80, 75.00)","74.50 (73.83, 75.14)","75.25 (74.54, 75.93)","75.06 (74.32, 75.79)"
Cleburne County, Alabama,1029,"73.14 (72.55, 73.74)","73.84 (73.31, 74.43)","73.89 (73.27, 74.57)","74.53 (73.83, 75.17)","74.30 (73.62, 75.04)"
Coffee County, Alabama,1031,"75.01 (74.54, 75.51)","75.55 (75.10, 76.00)","75.80 (75.32, 76.26)","76.50 (76.03, 76.99)","76.48 (75.94, 76.98)"
Colbert County, Alabama,1033,"73.83 (73.35, 74.34)","74.70 (74.27, 75.15)","74.73 (74.27, 75.18)","75.26 (74.77, 75.73)","75.07 (74.57, 75.58)"
Conecuh County, Alabama,1035,"72.77 (72.13, 73.44)","73.40 (72.76, 74.02)","73.36 (72.67, 74.08)","74.08 (73.35, 74.82)","74.05 (73.25, 74.88)"
